eng,fi,questionnaire,invert
How long have you been singing as a hobby?,Kuinka kauan olet harrastanut laulamista?,music_background,
How often did you sing when you were most active with the hobby?,Kuinka usein lauloit harrastuksen aktiivisimmassa vaiheessa?,music_background,
How often do you sing nowadays?,Kuinka usein laulat nykyään?,music_background,
How many years of tuition have you received for singing (outside primary/lower secondary school)?,Kuinka monta vuotta olet saanut opetusta laulamiseen (peruskoulun ulkopuolella)?,music_background,
How long have you been playing a musical instrument as a hobby?,Kuinka kauan olet harrastanut musiikki-instrumentin soittamista?,music_background,
How often did you play when you were most active with the hobby?,Kuinka usein soitit harrastuksen aktiivisimmassa vaiheessa?,music_background,
How often do you play nowadays?,Kuinka usein soitat nykyään?,music_background,
How many years of tuition have you received for playing (outside primary/lower secondary school)?,Kuinka monta vuotta olet saanut opetusta soittamiseen (peruskoulun ulkopuolella)?,music_background,
How long have you been dancing as a hobby?,Kuinka kauan olet harrastanut tanssimista?,music_background,
How often did you dance when you were most active with the hobby?,Kuinka usein tanssit harrastuksen aktiivisimmassa vaiheessa?,music_background,
How often do you dance nowadays?,Kuinka usein tanssit nykyään?,music_background,
How many years of tuition have you received for dancing (outside primary/lower secondary school)?,Kuinka monta vuotta olet saanut opetusta tanssimiseen (peruskoulun ulkopuolella)?,music_background,
How often do you listen to music nowadays?,Kuinka usein kuuntelet musiikkia nykyään?,music_background,
How musical do you consider yourself?,Kuinka musikaaliseksi koet itsesi?,music_background,
I can tell when people sing or play out of time with the beat,Huomaan kun ihmiset laulavat tai soittavat väärässä tahdissa,gold_msi_perceptual,
I can tell when people sing or play out of tune,Huomaan kun ihmiset laulavat tai soittavat epävireisesti,gold_msi_perceptual,
I find it easy to learn or imitate other people's movements,Minusta on helppo oppia tai matkia toisten liikkeitä.,gold_msi_perceptual,
I have trouble recognizing a familiar song when played in a different way or by a different performer,Minun on hankala tunnistaa tuttu kappale kun se soitetaan eri tavalla tai eri esittäjä soittaa sen,gold_msi_perceptual,1
"When I sing, I have no idea whether I'm in tune or not",Laulaessani en tiedä lainkaan laulanko vireessä vai epävireessä,gold_msi_perceptual,1
What is your primary spoken language?,Mikä on äidinkielesi?,personal_background,
Education,education,personal_background,
yearOfBirth,yearOfBirth,personal_background,
What is your secondary spoken language? (If applicable),Mikä on toissijainen puhuttu kielesi? (jos on),personal_background,
Date of birth,Syntymäpäivä,personal_background,
What is your nationality,Mikä on kansalaisuutesi?,personal_background,
Gender,Sukupuoli,personal_background,
"Education, other:","Koulutus, muu:",personal_background,
Primary school/grade school,Kansakoulu,personal_background,
Comprehensive school/elementary school,Peruskoulu,personal_background,
Secondary education/High school,Lukio,personal_background,
Secondary education/Vocational training,Ammattikoulu tai vastaava,personal_background,
Bachelor’s degree (University or University of applied sciences),Kandidaatin tutkinto (yliopisto tai ammattikorkeakoulu),personal_background,
Master’s degree (University or University of applied sciences),Maisterintutkinto (yliopisto tai ammattikorkeakoulu),personal_background,
Licentiate or doctoral degree,Lisensiaatin tai tohtorintutkinto,personal_background,
"How much do you like the following musical genres? For each genre, select the option that best describes your preference.","Kuinka paljon pidät seuraavista musiikkityyleistä? Valitse jokaisen musiikkityylin kohdalla vaihtoehto, joka parhaiten kuvaa mieltymystäsi.",stomp,
Blues,Blues,stomp,
Jazz,Jazz,stomp,
Classical,Klassinen,stomp,
Folk,Etno / kansanmusiikki,stomp,
Rock,Rock,stomp,
Alternative,Vaihtoehto / indie,stomp,
Heavy metal,Metalli,stomp,
Country,Kantri,stomp,
Religious,Hengellinen,stomp,
